greyhound,dog_id,date,track,distance,trap,finish_position,run_time,sectional_time,sp,race_class,btn_distance,source
Aayamza Legend,,2026-03-07,Yarmouth,462,1,1,27.95,,07/03,,,timeform
Aayamza Legend,63909.0,2026-02-28,Monmore,480,3,2,28.83,4.46,3/1,OR,4,sporting_life
Aayamza Legend,63909.0,2026-02-21,Monmore,480,4,5,28.4,4.44,25/1,OR,2 ¼,sporting_life
Aayamza Legend,,2026-02-16,Yarmouth,462,1,1,27.7,,16/02,,,timeform
Aayamza Legend,,2026-02-05,Monmore,264,1,1,15.37,,05/02,,,timeform
Aayamza Legend,,2026-01-31,Yarmouth,277,1,1,16.64,,31/01,,,timeform
Aayamza Legend,63909.0,2025-12-12,Romford,575,2,5,35.72,13.56,3/1,OR,2,sporting_life
Aayamza Legend,63909.0,2025-12-05,Romford,575,4,2,35.64,14.13,10/3,OR,6 ½,sporting_life
Aayamza Legend,63909.0,2025-11-28,Romford,575,4,2,35.48,13.62,10/11,OR,¾,sporting_life
Aayamza Legend,63909.0,2025-11-21,Romford,575,4,1,35.09,13.59,4/9,OR,,sporting_life
Aayamza Legend,,2025-11-14,Romford,400,1,1,23.72,,14/11,,,timeform
Aayamza Legend,,2025-11-07,Romford,400,1,1,23.88,,07/11,,,timeform
Aayamza Legend,,2025-10-31,Romford,400,1,1,23.89,,31/10,,,timeform
Aayamza Legend,,2025-10-22,Yarmouth,277,1,1,16.33,,22/10,,,timeform
Aayamza Legend,63909.0,2025-08-03,Towcester,500,3,4,29.65,4.21,6/1,OR,¾,sporting_life
Aayamza Legend,63909.0,2025-07-27,Towcester,500,4,3,29.83,4.23,7/1,OR,nk,sporting_life
Aayamza Legend,63909.0,2025-07-20,Towcester,500,2,4,29.74,4.21,8/1,OR,¾,sporting_life
Aayamza Legend,,2025-07-13,Towcester,270,3,2,16.19,,13/07,,,timeform
Aayamza Legend,,2025-06-22,Towcester,500,3,1,29.64,,22/06,,,timeform
Abel Mabel,59915.0,2026-03-04,Romford,400,4,1,24.64,3.7,7/2,A6,,sporting_life
Abel Mabel,59915.0,2026-02-24,Romford,400,3,3,24.54,3.74,5/1,A6,¾,sporting_life
Abel Mabel,59915.0,2026-02-17,Romford,400,3,1,24.5,3.74,10/3,A7,,sporting_life
Abel Mabel,59915.0,2026-02-10,Romford,400,3,2,24.57,3.68,9/1,A6,1 ¾,sporting_life
Abel Mabel,59915.0,2026-01-31,Romford,400,4,2,24.54,3.69,7/2,A6,nk,sporting_life
Abel Mabel,59915.0,2026-01-20,Romford,400,3,1,24.57,3.82,5/2,A7,,sporting_life
Abel Mabel,59915.0,2026-01-10,Romford,400,3,1,24.76,3.85,7/2,A8,,sporting_life
Abel Mabel,59915.0,2025-12-27,Romford,400,3,4,24.65,3.7,8/1,A8,¾,sporting_life
Abel Mabel,59915.0,2025-12-20,Romford,400,3,1,24.84,3.79,9/4,A9,,sporting_life
Abel Mabel,59915.0,2025-12-12,Romford,400,3,5,25.11,3.93,15/8,A9,2,sporting_life
Abel Mabel,59915.0,2025-12-01,Romford,400,3,2,24.63,3.7,2/1,A8,1 ½,sporting_life
Abel Mabel,59915.0,2025-11-18,Romford,400,3,2,24.58,3.88,5/1,A8,¾,sporting_life
Abel Mabel,59915.0,2025-11-08,Romford,400,3,5,25.84,3.81,11/4,A8,3 ½,sporting_life
Abel Mabel,59915.0,2025-10-28,Romford,400,4,1,24.51,3.75,15/8,A9,,sporting_life
Abel Mabel,59915.0,2025-10-22,Romford,400,3,4,24.97,3.82,7/2,A8,½,sporting_life
Abel Mabel,59915.0,2025-10-15,Romford,400,3,5,25.26,3.87,3/1,A8,3,sporting_life
Abel Mabel,59915.0,2025-10-07,Romford,400,3,4,24.92,3.86,5/1,A8,3,sporting_life
Abel Mabel,59915.0,2025-09-30,Romford,400,3,1,24.5,3.85,3/1,A9,,sporting_life
Abel Mabel,59915.0,2025-09-24,Romford,400,3,3,25.12,4.0,13/8,A9,2 ¼,sporting_life
Abel Mabel,59915.0,2025-09-16,Romford,400,3,1,24.73,3.76,15/8,A10,,sporting_life
Abel Mabel,59915.0,2025-09-09,Romford,400,3,1,25.1,3.91,5/4,A11,,sporting_life
Abel Mabel,59915.0,2025-09-03,Romford,400,4,2,24.67,3.73,5/2,A10,1 ½,sporting_life
Abel Mabel,59915.0,2025-08-26,Romford,400,3,2,24.78,3.76,3/1,A10,5,sporting_life
Abel Mabel,59915.0,2025-08-19,Romford,400,4,1,24.69,3.79,13/8,A11,,sporting_life
Abel Mabel,59915.0,2025-08-13,Romford,400,3,5,25.09,3.87,8/1,A10,1,sporting_life
Abel Mabel,59915.0,2025-08-09,Romford,400,3,6,25.39,3.87,10/3,A9,2 ½,sporting_life
Abel Mabel,59915.0,2025-08-02,Romford,400,3,3,24.69,3.76,7/1,A9,¾,sporting_life
Abel Mabel,59915.0,2025-07-26,Romford,400,3,5,25.05,3.86,7/2,A9,½,sporting_life
Abel Mabel,59915.0,2025-07-19,Romford,400,3,4,25.0,3.89,9/1,A9,½,sporting_life
Abel Mabel,59915.0,2025-07-14,Romford,400,3,3,24.94,3.77,6/1,A9,½,sporting_life
Abel Mabel,59915.0,2025-07-07,Romford,400,4,1,25.07,3.83,9/2,A10,,sporting_life
Abel Mabel,59915.0,2025-06-23,Romford,400,3,5,25.44,3.99,6/1,A9,5 ¼,sporting_life
Abel Mabel,59915.0,2025-06-14,Romford,400,3,6,25.47,3.91,15/8,A9,4 ½,sporting_life
Abel Mabel,59915.0,2025-05-31,Romford,400,3,2,24.64,3.82,13/8,A9,1 ½,sporting_life
Abel Mabel,59915.0,2025-05-24,Romford,400,3,2,24.78,3.83,6/1,A9,1 ¼,sporting_life
Abel Mabel,59915.0,2025-05-17,Romford,400,3,1,24.63,3.69,4/11,A11,,sporting_life
Abel Mabel,59915.0,2025-05-10,Romford,400,4,3,24.96,3.78,11/4,A11,sh,sporting_life
Abel Mabel,59915.0,2025-05-03,Romford,400,4,3,24.95,3.72,7/4,A11,hd,sporting_life
Abel Mabel,59915.0,2025-04-28,Romford,400,4,3,24.98,3.82,13/8,A11,sh,sporting_life
Abel Mabel,59915.0,2025-04-19,Romford,400,3,5,25.29,3.81,5/2,A10,½,sporting_life
Abel Mabel,59915.0,2025-04-12,Romford,400,3,2,25.0,3.81,15/8,A10,4 ¾,sporting_life
Abel Mabel,59915.0,2025-04-05,Romford,400,3,3,24.98,3.75,9/4,A10,½,sporting_life
Abel Mabel,59915.0,2025-03-31,Romford,400,4,4,25.35,3.77,5/2,A10,2,sporting_life
Abel Mabel,59915.0,2025-03-25,Romford,400,4,1,24.81,3.72,3/1,A11,,sporting_life
Abel Mabel,,2025-03-20,Romford,400,4,2,24.91,,20/03,,,timeform
Abel Mabel,59915.0,2025-02-15,Romford,400,3,2,25.17,3.85,11/4,A10,3 ¾,sporting_life
Abel Mabel,59915.0,2025-02-10,Romford,400,2,3,25.25,3.93,5/4,A10,hd,sporting_life
Abel Mabel,59915.0,2025-02-01,Romford,400,3,1,24.79,3.84,7/4,A11,,sporting_life
Abel Mabel,59915.0,2025-01-20,Romford,400,3,3,25.17,3.87,10/11,A11,sh,sporting_life
Abel Mabel,59915.0,2025-01-14,Romford,400,3,2,24.97,3.81,15/8,A11,¾,sporting_life
Abel Mabel,59915.0,2025-01-04,Romford,400,3,2,24.5,3.76,3/1,A10,3,sporting_life
Abel Mabel,59915.0,2024-12-26,Romford,400,3,2,25.12,3.86,3/1,A10,2 ¼,sporting_life
Abel Mabel,59915.0,2024-12-18,Romford,400,2,3,25.01,3.84,10/3,A10,1,sporting_life
Abel Mabel,59915.0,2024-12-14,Romford,400,2,2,25.04,3.82,3/1,A10,hd,sporting_life
Abel Mabel,59915.0,2024-12-09,Romford,400,2,1,24.97,3.72,5/4,A11,,sporting_life
Abel Mabel,59915.0,2024-12-02,Romford,400,3,2,24.96,3.84,6/1,A11,3 ¼,sporting_life
Abel Mabel,59915.0,2024-11-27,Romford,400,2,4,25.28,3.85,10/1,A11,sh,sporting_life
Abel Mabel,59915.0,2024-11-23,Romford,400,2,5,25.41,3.9,5/1,A11,½,sporting_life
Abel Mabel,59915.0,2024-11-15,Romford,400,2,5,25.21,3.91,14/1,A10,1 ¾,sporting_life
Abel Mabel,59915.0,2024-11-04,Romford,400,2,1,25.22,3.81,15/8,A11,,sporting_life
Abel Mabel,59915.0,2024-10-26,Romford,400,2,3,25.3,3.85,9/1,A11,3,sporting_life
Abel Mabel,59915.0,2024-10-22,Romford,400,2,3,25.61,3.88,7/2,A11,1 ½,sporting_life
Abel Mabel,59915.0,2024-10-15,Romford,400,3,4,25.65,3.88,10/1,A11,½,sporting_life
Abel Mabel,59915.0,2024-10-09,Romford,400,2,6,26.29,3.9,20/1,A11,3 ¼,sporting_life
Abel Mabel,59915.0,2024-09-21,Romford,400,4,6,25.86,3.96,20/1,A11,4 ¾,sporting_life
Abel Mabel,59915.0,2024-09-04,Romford,400,3,5,25.8,3.95,20/1,A11,7,sporting_life
Aero Espresso,64486.0,2025-09-05,Romford,400,5,6,24.69,3.91,18/1,OR1,2,sporting_life
Aero Espresso,,2026-03-06 00:00:00,Romford,400,2,1,24.67,3.84,,T3,4.75,results_parquet
Aero Espresso,,2026-02-28 00:00:00,Central Park,277,2,1,16.62,,,T2,0.3,results_parquet
Aero Leg It,65791.0,2026-03-06,Romford,575,3,4,36.3,14.01,5/4,OR3,1,sporting_life
Aero Leg It,65791.0,2026-02-28,Central Park,491,4,3,29.2,3.18,25/1,OR,1 ½,sporting_life
Aero Leg It,65791.0,2026-02-21,Central Park,491,3,3,29.7,3.25,10/1,OR,5,sporting_life
Aero Leg It,65791.0,2026-02-13,Romford,400,5,3,24.92,3.83,25/1,OR3,hd,sporting_life
Aero Leg It,65791.0,2026-02-06,Romford,400,5,3,24.52,3.84,9/2,OR3,hd,sporting_life
Aero Leg It,,2026-01-29,Romford,400,1,1,24.34,,29/01,,,timeform
Aero Leg It,,2025-12-31,Romford,400,2,2,24.76,,31/12,,,timeform
Aero Leg It,65791.0,2025-12-21,Oxford,450,5,4,27.58,,11/2,OR1,2 ¼,sporting_life
Aero Leg It,65791.0,2025-12-14,Oxford,450,6,3,27.24,,6/1,OR1,4 ½,sporting_life
Aero Leg It,,2025-12-09,Oxford,450,3,2,26.84,,09/12,,,timeform
Aero Leg It,,2025-12-02,Oxford,450,3,3,27.64,,02/12,,,timeform
Aero Leg It,,2025-11-14,Monmore,480,2,2,28.76,,14/11,,,timeform
Alan The First,62140.0,2026-03-06,Romford,400,3,5,24.7,3.7,5/1,OR1,½,sporting_life
Alan The First,62140.0,2026-02-03,Romford,400,2,5,24.63,3.85,2/1,A2,½,sporting_life
Alan The First,62140.0,2026-01-26,Romford,400,2,2,24.25,3.76,7/2,A2,2 ¼,sporting_life
Alan The First,62140.0,2026-01-17,Romford,400,2,6,24.82,3.68,3/1,A1,¾,sporting_life
Alan The First,62140.0,2026-01-10,Romford,400,1,5,24.63,3.69,5/1,A1,4 ¾,sporting_life
Alan The First,62140.0,2025-12-27,Romford,400,1,5,24.95,3.82,9/2,OR,2 ¼,sporting_life
Alan The First,62140.0,2025-12-20,Romford,400,1,6,24.52,3.68,7/4,A1,sh,sporting_life
Alan The First,62140.0,2025-12-08,Nottingham,305,1,5,18.09,,4/1,OR2,1,sporting_life
Alan The First,62140.0,2025-12-01,Nottingham,305,2,5,18.38,,11/1,OR,2,sporting_life
Alan The First,62140.0,2025-11-12,Romford,400,1,1,24.32,3.81,11/4,A1,,sporting_life
Alan The First,62140.0,2025-10-31,Romford,400,1,4,24.26,3.78,9/2,OR3,¾,sporting_life
Alan The First,62140.0,2025-10-24,Romford,400,2,2,24.38,3.73,5/1,OR3,2 ¼,sporting_life
Alan The First,62140.0,2025-10-17,Romford,400,3,3,24.47,3.77,6/1,OR,4,sporting_life
Alan The First,62140.0,2025-10-10,Romford,400,1,3,24.39,3.74,2/1,OR3,½,sporting_life
Alan The First,62140.0,2025-10-03,Romford,400,2,3,24.31,3.81,9/1,OR2,2,sporting_life
Alan The First,62140.0,2025-09-26,Romford,400,2,1,24.17,3.74,9/2,OR,,sporting_life
Alan The First,62140.0,2025-09-20,Romford,400,2,3,24.73,3.78,11/4,A1,3 ½,sporting_life
Alan The First,62140.0,2025-09-13,Romford,400,2,1,24.13,3.72,7/4,A1,,sporting_life
Alan The First,62140.0,2025-09-05,Romford,400,2,4,24.53,3.82,6/1,OR,1 ½,sporting_life
Alan The First,62140.0,2025-08-29,Romford,400,1,3,24.33,3.79,8/1,OR,5,sporting_life
Alan The First,62140.0,2025-08-20,Romford,400,2,1,24.29,3.75,11/4,A1,,sporting_life
Alan The First,62140.0,2025-06-27,Romford,400,2,6,,3.82,4/1,OR,dis,sporting_life
Alan The First,62140.0,2025-06-21,Romford,400,4,4,24.23,3.69,7/2,IV,1 ¾,sporting_life
Alan The First,62140.0,2025-06-13,Romford,400,1,4,24.53,3.83,4/5,A1,2 ¼,sporting_life
Alan The First,62140.0,2025-06-06,Romford,400,1,1,23.88,3.76,5/1,OR,,sporting_life
Alan The First,62140.0,2025-05-23,Romford,400,1,3,24.19,3.87,5/1,OR,1 ¼,sporting_life
Alan The First,62140.0,2025-05-16,Romford,400,1,1,24.03,3.79,13/8,OR3,,sporting_life
Alan The First,62140.0,2025-05-09,Romford,400,2,1,23.89,3.72,11/10,OR3,,sporting_life
Alan The First,62140.0,2025-04-29,Romford,400,2,5,24.75,3.83,5/2,A1,¾,sporting_life
Alan The First,62140.0,2025-04-15,Romford,400,2,1,23.97,3.67,7/4,A2,,sporting_life
Alan The First,62140.0,2025-04-07,Romford,400,2,4,25.16,3.79,9/4,A2,1 ¾,sporting_life
Alan The First,62140.0,2025-04-01,Romford,400,2,1,24.19,3.72,6/4,A4,,sporting_life
Alan The First,62140.0,2025-03-26,Romford,400,2,2,24.44,3.74,9/4,A4,3,sporting_life
Alan The First,62140.0,2025-03-18,Romford,400,2,3,24.72,3.86,5/2,A3,¾,sporting_life
Alan The First,62140.0,2025-03-08,Romford,400,2,6,24.91,3.87,6/4,A3,sh,sporting_life
Alan The First,,2026-02-25 00:00:00,Romford,400,2,1,24.27,3.68,,T1,,results_parquet
Alan The First,,2026-02-19 00:00:00,Romford,225,2,1,13.57,0.0,,T1,,results_parquet
Alana The Second,64165.0,2026-03-06,Romford,575,1,1,35.94,13.71,13/8,OR3,,sporting_life
Alana The Second,64165.0,2026-02-27,Romford,575,2,2,35.66,13.79,5/2,OR,sh,sporting_life
Alana The Second,64165.0,2026-02-20,Romford,575,3,5,36.39,14.11,6/1,OR,2,sporting_life
Alana The Second,64165.0,2026-02-14,Central Park,491,3,1,29.69,3.08,11/4,OR,,sporting_life
Alana The Second,64165.0,2026-02-06,Romford,575,2,4,36.42,13.9,16/1,OR,6 ½,sporting_life
Alana The Second,64165.0,2026-01-31,Romford,575,2,1,35.68,13.6,1/1,S3,,sporting_life
Alana The Second,64165.0,2026-01-24,Romford,575,1,2,36.32,13.87,3/1,S2,2,sporting_life
Alana The Second,64165.0,2026-01-19,Romford,575,1,3,35.89,13.79,10/3,S2,2 ¾,sporting_life
Alana The Second,64165.0,2026-01-14,Romford,575,2,3,36.41,14.01,4/1,S2,,sporting_life
Alana The Second,64165.0,2026-01-07,Romford,400,2,1,24.33,3.79,7/2,A5,,sporting_life
Alana The Second,64165.0,2026-01-02,Romford,400,1,4,24.27,3.79,2/1,A5,½,sporting_life
Alana The Second,64165.0,2025-12-20,Romford,400,2,5,24.97,3.88,1/1,A5,2,sporting_life
Alana The Second,64165.0,2025-12-03,Romford,575,2,3,35.99,13.63,9/4,S2,1 ¾,sporting_life
Alana The Second,64165.0,2025-11-22,Romford,400,2,1,24.22,3.9,11/8,A6,,sporting_life
Alana The Second,64165.0,2025-11-15,Romford,400,2,2,24.41,3.85,10/3,A5,¾,sporting_life
Alana The Second,64165.0,2025-11-08,Romford,400,2,1,24.35,3.87,15/8,A7,,sporting_life
Alana The Second,,2025-10-30,Romford,400,1,1,24.6,,30/10,,,timeform
Alana The Second,,2025-10-02,Romford,400,3,2,25.25,,02/10,,,timeform
Alana The Second,64165.0,2025-08-16,Romford,400,1,3,24.74,3.86,11/4,A6,3,sporting_life
Alana The Second,64165.0,2025-08-11,Romford,400,2,6,25.02,3.91,8/1,A5,2 ¼,sporting_life
Alana The Second,,2025-07-31,Romford,400,3,1,24.56,,31/07,,,timeform
Alana The Second,,2025-07-24,Romford,400,3,3,25.01,,24/07,,,timeform
Alans Amigo,63777.0,2026-03-06,Romford,575,1,6,36.67,14.36,40/1,OR,2 ½,sporting_life
Alans Amigo,63777.0,2026-02-24,Romford,575,2,4,35.75,13.94,4/1,S1,nk,sporting_life
Alans Amigo,63777.0,2026-02-13,Romford,575,1,1,35.89,14.05,7/2,OR,,sporting_life
Alans Amigo,63777.0,2026-02-06,Romford,575,3,2,35.68,13.79,7/1,OR,2 ½,sporting_life
Alans Amigo,63777.0,2026-01-30,Romford,575,1,3,35.75,13.87,9/2,OR3,sh,sporting_life
Alans Amigo,63777.0,2026-01-23,Romford,575,3,6,36.37,14.21,12/1,OR3,½,sporting_life
Alans Amigo,63777.0,2026-01-16,Romford,575,2,3,35.87,13.87,7/1,OR3,1 ¼,sporting_life
Alans Amigo,63777.0,2026-01-07,Romford,575,2,4,36.33,14.29,9/4,S1,1 ¼,sporting_life
Alans Amigo,63777.0,2026-01-02,Romford,575,1,5,35.54,14.23,4/1,OR,hd,sporting_life
Alans Amigo,63777.0,2025-12-27,Romford,575,2,3,35.83,13.88,9/2,S1,nk,sporting_life
Alans Amigo,63777.0,2025-12-19,Romford,575,2,3,35.95,14.04,3/1,OR,3 ¾,sporting_life
Alans Amigo,63777.0,2025-12-08,Romford,400,2,3,24.37,3.93,3/1,A4,nk,sporting_life
Alans Amigo,63777.0,2025-12-02,Romford,575,2,4,35.58,13.89,10/1,S1,½,sporting_life
Alans Amigo,63777.0,2025-11-22,Romford,575,2,1,35.45,13.72,10/3,S2,,sporting_life
Alans Amigo,63777.0,2025-11-10,Romford,400,2,4,24.67,4.01,4/1,A4,nk,sporting_life
Alans Amigo,63777.0,2025-11-01,Romford,400,2,4,24.39,3.95,11/4,A4,hd,sporting_life
Alans Amigo,63777.0,2025-10-25,Romford,400,2,2,24.46,3.84,4/1,A4,3 ¼,sporting_life
Alans Amigo,63777.0,2025-10-14,Romford,400,2,4,24.3,3.98,6/1,A3,nk,sporting_life
Alans Amigo,63777.0,2025-10-08,Romford,400,2,6,24.64,4.04,9/2,A3,nk,sporting_life
Alans Amigo,63777.0,2025-10-04,Romford,400,2,5,24.67,4.03,7/4,A3,1 ¼,sporting_life
Alans Amigo,63777.0,2025-09-23,Romford,400,1,2,24.45,3.97,7/2,A3,1 ¼,sporting_life
Alans Amigo,63777.0,2025-07-25,Romford,400,2,4,24.91,4.01,4/1,OR3,½,sporting_life
Alans Amigo,63777.0,2025-07-20,Towcester,500,3,5,30.21,4.16,7/1,OR,5 ¾,sporting_life
Alans Amigo,63777.0,2025-07-13,Towcester,500,1,4,29.81,4.25,18/1,OR1,2 ¼,sporting_life
Alans Amigo,63777.0,2025-07-06,Towcester,500,1,3,29.47,4.18,25/1,OR1,1 ¾,sporting_life
Bacon Frazzles,57949.0,2026-03-06,Romford,575,3,3,35.25,13.78,25/1,OR,1 ¼,sporting_life
Bacon Frazzles,57949.0,2026-02-27,Romford,575,5,4,35.37,13.8,12/1,OR,2 ½,sporting_life
Bacon Frazzles,57949.0,2026-02-21,Central Park,491,4,6,30.01,3.16,25/1,OR,4,sporting_life
Bacon Frazzles,57949.0,2026-02-13,Romford,575,4,5,36.01,14.28,20/1,OR,1 ½,sporting_life
Bacon Frazzles,57949.0,2026-02-06,Romford,575,4,4,35.83,13.81,8/1,OR,1 ¾,sporting_life
Bacon Frazzles,,2026-01-28,Romford,400,3,1,24.37,,28/01,,,timeform
Bacon Frazzles,57949.0,2026-01-09,Romford,575,4,1,35.4,13.88,7/1,OR1,,sporting_life
Bacon Frazzles,57949.0,2026-01-02,Romford,575,4,2,35.38,14.07,9/2,OR,6 ¼,sporting_life
Bacon Frazzles,57949.0,2025-12-27,Romford,575,5,5,35.98,13.76,5/2,OR,2 ½,sporting_life
Bacon Frazzles,57949.0,2025-12-19,Romford,575,4,5,35.16,13.77,10/1,OR,sh,sporting_life
Bacon Frazzles,57949.0,2025-12-12,Romford,575,4,2,35.24,13.66,4/1,OR,nk,sporting_life
Bacon Frazzles,57949.0,2025-12-08,Romford,575,3,1,35.31,13.63,4/5,S1,,sporting_life
Bacon Frazzles,57949.0,2025-11-28,Romford,575,4,3,35.21,13.77,10/3,OR3,¾,sporting_life
Bacon Frazzles,57949.0,2025-11-21,Romford,575,4,1,35.04,13.69,5/1,OR3,,sporting_life
Bacon Frazzles,57949.0,2025-11-14,Romford,575,4,1,35.47,13.82,2/1,OR,,sporting_life
Bacon Frazzles,57949.0,2025-10-31,Romford,575,5,4,35.4,13.77,14/1,OR3,1 ½,sporting_life
Bacon Frazzles,57949.0,2025-10-24,Romford,575,4,3,36.13,13.99,10/3,OR3,5,sporting_life
Bacon Frazzles,57949.0,2025-10-17,Romford,575,4,6,36.1,13.95,7/1,OR,¾,sporting_life
Bacon Frazzles,57949.0,2025-10-10,Romford,575,3,3,35.26,13.8,11/8,OR,nk,sporting_life
Bacon Frazzles,57949.0,2025-10-03,Romford,575,5,4,35.88,14.13,9/2,OR1,½,sporting_life
Bacon Frazzles,57949.0,2025-09-26,Romford,575,6,3,35.84,13.86,22/1,OR,2 ¼,sporting_life
Bacon Frazzles,57949.0,2025-09-19,Romford,575,5,3,35.5,13.89,20/1,OR,¾,sporting_life
Bacon Frazzles,57949.0,2025-09-12,Romford,575,6,5,36.23,14.14,10/1,OR,1,sporting_life
Bacon Frazzles,57949.0,2025-09-08,Romford,575,5,1,35.45,13.78,4/7,S1,,sporting_life
Bacon Frazzles,57949.0,2025-08-29,Romford,575,5,2,35.65,13.99,11/4,OR,¾,sporting_life
Bacon Frazzles,57949.0,2025-08-22,Romford,575,5,5,35.96,13.96,2/1,OR,2 ½,sporting_life
Bacon Frazzles,57949.0,2025-08-15,Romford,575,5,3,35.11,13.54,9/2,OR,½,sporting_life
Bacon Frazzles,57949.0,2025-08-08,Romford,575,3,2,35.29,13.77,8/11,OR3,1 ½,sporting_life
Bacon Frazzles,57949.0,2025-08-01,Romford,575,3,1,35.27,13.67,6/4,OR3,,sporting_life
Bacon Frazzles,57949.0,2025-07-25,Romford,575,4,2,35.16,13.66,11/1,OR3,½,sporting_life
Bacon Frazzles,57949.0,2025-07-18,Romford,575,4,3,35.48,13.73,9/1,OR3,1 ½,sporting_life
Bacon Frazzles,57949.0,2025-07-12,Oxford,650,4,4,40.48,15.48,14/1,OR,1 ¾,sporting_life
Bacon Frazzles,57949.0,2025-07-07,Romford,575,5,3,35.88,13.9,5/4,S1,1 ½,sporting_life
Bacon Frazzles,57949.0,2025-07-02,Romford,575,3,2,35.47,13.8,8/11,S1,hd,sporting_life
Bacon Frazzles,57949.0,2025-06-20,Romford,575,5,5,35.6,13.92,10/1,OR1,sh,sporting_life
Bacon Frazzles,57949.0,2025-06-14,Romford,575,3,2,35.43,13.8,5/4,S1,1 ¾,sporting_life
Bacon Frazzles,57949.0,2025-06-10,Romford,575,3,1,35.39,13.88,4/6,S1,,sporting_life
Bacon Frazzles,57949.0,2025-06-04,Romford,575,3,2,35.95,14.12,1/1,S1,1 ½,sporting_life
Bacon Frazzles,57949.0,2025-05-30,Romford,575,6,2,35.35,13.67,9/2,OR,3,sporting_life
Bacon Frazzles,57949.0,2025-05-23,Romford,575,6,5,35.51,13.88,11/1,OR3,½,sporting_life
Bacon Frazzles,57949.0,2025-05-16,Romford,575,6,2,35.25,13.62,7/1,OR3,hd,sporting_life
Bacon Frazzles,57949.0,2025-05-09,Romford,575,5,1,35.32,13.67,8/1,OR,,sporting_life
Bacon Frazzles,57949.0,2025-05-02,Romford,575,5,6,35.85,13.92,14/1,OR3,1,sporting_life
Bacon Frazzles,57949.0,2025-04-25,Romford,575,3,3,36.02,13.67,9/1,OR,6 ½,sporting_life
Bacon Frazzles,57949.0,2025-04-18,Romford,575,3,4,35.47,13.78,2/1,OR3,1,sporting_life
Bacon Frazzles,57949.0,2025-04-09,Romford,575,4,3,35.75,13.89,2/1,S1,1,sporting_life
Bacon Frazzles,57949.0,2025-04-02,Romford,575,4,1,35.34,13.79,4/5,S1,,sporting_life
Bacon Frazzles,57949.0,2025-03-26,Romford,575,4,3,35.83,13.96,3/1,S1,½,sporting_life
Bacon Frazzles,57949.0,2025-03-14,Romford,575,6,4,35.76,13.87,33/1,OR,1 ¼,sporting_life
Bacon Frazzles,57949.0,2025-02-28,Romford,575,4,4,35.81,13.9,28/1,OR,1 ¼,sporting_life
Bacon Frazzles,57949.0,2025-02-21,Romford,575,6,5,36.42,14.23,33/1,OR,1 ¾,sporting_life
Bacon Frazzles,57949.0,2025-02-14,Romford,750,4,4,48.53,24.12,7/2,OR3,6 ¼,sporting_life
Bacon Frazzles,57949.0,2025-02-07,Romford,575,4,4,35.8,14.11,7/1,OR,1 ½,sporting_life
Bacon Frazzles,57949.0,2025-01-31,Romford,575,2,3,35.35,13.74,14/1,OR3,sh,sporting_life
Bacon Frazzles,57949.0,2025-01-24,Romford,575,5,2,35.76,13.89,7/2,OR3,6 ¼,sporting_life
Bacon Frazzles,57949.0,2025-01-15,Romford,575,4,1,35.58,13.69,13/8,S1,,sporting_life
Bacon Frazzles,57949.0,2024-12-11,Romford,575,4,2,35.65,14.15,8/1,S1,¾,sporting_life
Bacon Frazzles,57949.0,2024-12-06,Romford,575,5,4,35.81,13.99,12/1,OR3,½,sporting_life
Bacon Frazzles,57949.0,2024-11-29,Romford,575,5,3,35.86,14.05,9/2,OR3,sh,sporting_life
Bacon Frazzles,57949.0,2024-11-22,Romford,575,3,4,35.72,13.89,33/1,OR,½,sporting_life
Bacon Frazzles,57949.0,2024-11-15,Romford,575,2,5,35.9,14.1,12/1,OR,1 ¼,sporting_life
Bacon Frazzles,57949.0,2024-11-08,Romford,575,4,4,35.87,14.04,20/1,OR3,¾,sporting_life
Bacon Frazzles,57949.0,2024-11-01,Romford,575,5,2,35.57,13.89,10/1,OR3,5 ¾,sporting_life
Bacon Frazzles,57949.0,2024-10-25,Romford,575,6,1,35.89,14.21,33/1,OR3,,sporting_life
Bacon Frazzles,57949.0,2024-10-18,Romford,575,5,2,35.68,13.91,33/1,OR3,4 ½,sporting_life
Bacon Frazzles,57949.0,2024-10-11,Romford,750,5,4,48.37,24.77,33/1,OR3,4 ¼,sporting_life
Bacon Frazzles,57949.0,2024-10-07,Romford,575,3,4,36.99,14.37,9/4,S2,½,sporting_life
Bacon Frazzles,57949.0,2024-10-02,Romford,575,3,4,36.6,14.42,7/4,S2,½,sporting_life
Bacon Frazzles,57949.0,2024-09-25,Romford,575,3,5,35.78,13.88,5/1,S1,½,sporting_life
Bacon Frazzles,57949.0,2024-09-21,Romford,575,3,1,35.94,14.05,2/1,S2,,sporting_life
Bacon Frazzles,57949.0,2024-09-14,Romford,575,3,3,36.0,13.74,2/1,S2,1 ¾,sporting_life
Bacon Frazzles,57949.0,2024-09-07,Romford,575,3,1,35.75,13.89,5/2,S4,,sporting_life
Bacon Frazzles,57949.0,2024-08-31,Romford,400,3,4,24.65,3.91,6/1,A3,2 ¼,sporting_life
Bacon Frazzles,57949.0,2024-08-24,Romford,400,3,3,24.62,3.97,6/1,A3,2,sporting_life
Bacon Frazzles,57949.0,2024-08-17,Romford,400,3,4,24.67,3.94,9/2,A3,¾,sporting_life
Bacon Frazzles,57949.0,2024-08-10,Romford,400,3,3,24.68,3.99,4/1,A3,½,sporting_life
